Date,Description
"April 14, 1990","Calvin asks Mom if they can go out to the highway.  Calvin wants to put on his roller skates, tie a rope around himself to the car bumper, and skate along behind at 55 mph.  Calvin asks again if they can go.  Up on a tree branch, Calvin tells Hobbes he wishes Hobbes could drive."
"April 14, 1991","Looking at the evening sky, Calvin tells Hobbes it's clear nights like that when you realize how incomprehensibly vast the universe really is.  He wonders what early man must've thought as he watched the skies.  Calvin says he'd see he was an infinitesimal part of creation, but he'd have no understanding.  He asks Hobbes to imagine how big and mysterious the night would have seemed.  He bets he'd feel fragile and afraid.  He turns to see Hobbes is gone.  He looks around for anybody.  In the night, he sees eyes looking at him.  He is frightened.  WUMP!  Hobbes holds Calvin to the ground.  Hobbes says that's what he felt like.  Saber-tooth tiger food.  Calvin says from now on, he's staying inside at night and watching TV."
"April 14, 1992","Calvin reads his horoscope.  He says he's fated to get his way.  Hobbes asks what his key policies are.  As they go outside to play, Calvin says the first is ""don't do homework"".  Later, Hobbes notices Mom coming over.  He says it looks like she has a bone to pick with the moon.  Calvin says he'll assert his views in a confident manner."
"April 14, 1993","Calvin tells Hobbes he's at peace with the world and is serene.  He has discovered his purpose in life.  He's here so everybody can do what Calvin wants.  Calvin says once everyone accepts it, they'll be serene too."
"April 14, 1995","Miss Wormwood asks if Calvin is chewing gum.  He mumbles a reply that he is.  She asks if he has enough to share with everybody.  Calvin takes a giant wad of gum out of his mouth.  He says he probably does, but he asks if she really thinks they want it.  In the principal's office, Calvin pleads that it was her idea."
"April 15, 1986","Spaceman Spiff is being chased by a scum being.  He spots his hovering spaceship and heads for the ladder. As he climbs, the scum being is upon him, and he knows he's too late.  Miss Wormwood has told Calvin three times that recess is over and to get inside."
"April 15, 1987","Calvin tells Hobbes he had a substitute teacher at school.  Hobbes asks if he liked her, and Calvin says he guesses so.  Hobbes wonders why he ""guesses"".  Calvin says it's hard to tell, since she went home at noon."
"April 15, 1988","Dad doesn't think he needs an image consultant.  Dad prefers to let the wisdom of his words and deeds speak for themselves.  Calvin thinks that means Dad will have plenty of time to write his memoirs.  Dad tells Calvin to go to bed. Calvin offers dire headlines, ""Dad buried in landslide"", ""Stunned father inconsolable - demands recount"", ""Jubilant throngs fill streets""."
"April 15, 1989","Calvin plugs one nostril and snorts in.  He opens his mouth to dredge up some saliva.  PTOOEY!  He spits it out.  He proudly tells Hobbes that they sure go farther when you make them up right.  Hobbes, making a face and holding his stomach, suggests they make up a new contest."
"April 15, 1990","Going down the hill in their wagon, Calvin asks Hobbes if he's noticed decisions make chain reactions.  Calvin says each decision they make determines the range of choices they'll face next.  Coming to a fork in the road, Calvin chooses to go left.  As a result of that decision, they're faced with jumping the ledge or riding along the side of it.  If they hadn't turned left at the fork, this new choice would never have come up.  Hobbes notes with some dismay, Calvin has chosen to jump the ledge.  Hobbes asks if they should bail out or die in the landing.  Calvin says that shows their first decision created a chain reaction of decisions.  He decides they should jump.  Lying in the stream, Calvin says if you don't make each decision carefully, you never know where you'll end up.  Hobbes wishes they could talk about these things without the visual aids."
