date,book,page
1986-04-02,Calvin and Hobbes,67
1986-04-02,The Essential Calvin and Hobbes,76
1986-04-03,Calvin and Hobbes,67
1986-04-03,The Essential Calvin and Hobbes,77
1986-04-04,Calvin and Hobbes,68
1986-04-04,The Essential Calvin and Hobbes,77
1986-04-05,Calvin and Hobbes,68
1986-04-05,The Essential Calvin and Hobbes,77
1986-04-06,Calvin and Hobbes,69
1986-04-06,The Essential Calvin and Hobbes,78
1986-04-07,Calvin and Hobbes,70
1986-04-07,The Essential Calvin and Hobbes,79
1986-04-08,Calvin and Hobbes,70
1986-04-08,The Essential Calvin and Hobbes,79
1986-04-09,Calvin and Hobbes,70
1986-04-09,The Essential Calvin and Hobbes,79
1986-04-10,Calvin and Hobbes,71
1986-04-10,The Essential Calvin and Hobbes,80
1986-04-11,Calvin and Hobbes,71
1986-04-11,The Essential Calvin and Hobbes,80
1986-04-12,Calvin and Hobbes,71
1986-04-12,The Essential Calvin and Hobbes,80
1986-04-13,Calvin and Hobbes: Sunday Pages 1985-1995,26
1986-04-13,Calvin and Hobbes: Sunday Pages 1985-1995,27
1986-04-13,Calvin and Hobbes,72
1986-04-13,The Essential Calvin and Hobbes,81
1986-04-14,Calvin and Hobbes,73
1986-04-14,The Essential Calvin and Hobbes,82
1986-04-15,Calvin and Hobbes,73
1986-04-15,The Essential Calvin and Hobbes,82
1986-04-16,Calvin and Hobbes,73
1986-04-16,The Essential Calvin and Hobbes,82
1986-04-17,Calvin and Hobbes,74
1986-04-17,The Essential Calvin and Hobbes,83
1986-04-18,Calvin and Hobbes,74
1986-04-18,The Essential Calvin and Hobbes,83
1986-04-19,Calvin and Hobbes,74
1986-04-19,The Essential Calvin and Hobbes,83
1986-04-20,Calvin and Hobbes,75
1986-04-20,The Essential Calvin and Hobbes,84
1986-04-21,Calvin and Hobbes,76
1986-04-21,The Essential Calvin and Hobbes,85
1986-04-22,Calvin and Hobbes,76
1986-04-22,The Essential Calvin and Hobbes,85
1986-04-23,Calvin and Hobbes,76
1986-04-23,The Essential Calvin and Hobbes,85
1986-04-24,Calvin and Hobbes,77
1986-04-24,The Essential Calvin and Hobbes,86
1986-04-25,Calvin and Hobbes,77
1986-04-25,The Essential Calvin and Hobbes,86
1986-04-26,Calvin and Hobbes,77
1986-04-26,The Essential Calvin and Hobbes,86
1986-04-27,Calvin and Hobbes,78
